ID,Title,Date,Post Type,Permalink,WPML Translation ID,WPML Language Code,Image URL,Image Title,Image Caption,Image Description,Image Alt Text,Image Featured,Attachment URL,Resource Types,Status,Author ID,Author Username,Author Email,Author First Name,Author Last Name,Slug,Format,Template,Parent,Parent Slug,Order,Comment Status,Ping Status,Post Modified Date,Resource Type,Sort Order,Show Order Button,Show Download Button,Download File
,Written Eczema Care Plan - Printable and Fillable Form,2019-12-20,hcp-resource,,289,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Written-Eczema-Care-Plan-Printable-and-Fillable-Form.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Written-Eczema-Care-Plan-Printable-and-Fillable-Form.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,HP Resource,2,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Written-Eczema-Care-Plan_Printable-and-Fillable-Form_2020.pdf
,Plan écrit de traitement de l’eczéma - À remplir,2019-12-20,hcp-resource,,290,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Plan-écrit-de-traitement-de-l’eczéma-–-À-remplir-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Plan-écrit-de-traitement-de-l’eczéma-–-À-remplir-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,HP Resource,3,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Plan-écrit-de-traitement-de-l’eczéma-À-remplir_2020.pdf
,Written Eczema Care Plan - Label,2020-09-18,hcp-resource,,290,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Written-Care-Plan-Label.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Written-Care-Plan-Label.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,HP Resource,3,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Written-Eczema-Care-Plan_Label_2020.pdf
,Managing Eczema Guide,2019-07-31,hcp-resource,,251,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Managing-Eczema-Guide-Cover.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Managing-Eczema-Guide-Cover.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,1,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Managing-Eczema-Guide_2020.pdf
,Guide « Maîtriser l’eczéma »,2019-07-31,hcp-resource,,251,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Maitriser-leczema-brochure-2017-Cover.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC-Maitriser-leczema-brochure-2017-Cover.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,1,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Guide-Maitriser-leczema_2020.pdf
,Ask the Doctor About... Biologic Drugs for Atopic Dermatitis,2019-08-01,hcp-resource,,261,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-Biologics-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-Biologics-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Ask-the-Doctor_Biologics_2018.pdf
,Ask the Doctor About... Hand Eczema,2019-08-01,hcp-resource,,262,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-Hand-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-Hand-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Ask-the-Doctor_Hand_2018.pdf
,Eczema Skin Care Made Simple,2019-08-01,hcp-resource,,264,en,https://wp.arclabs.ca/staging/wp-content/uploads/resources/eczema-skin-care-made-simple@2x.jpg,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/eczema-skin-care-made-simple@2x.jpg,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/ESC_Eczema-Skin-Care-Made-Simple_May-2018.pdf
,Un médecin vous parle… des médicaments biologiques,2019-08-02,hcp-resource,,261,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-Biologics-FR-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-Biologics-FR-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Un-medecin-vous-parle-des-medicaments-biologiques_2018.pdf
,Un médecin vous parle… de l’eczéma des mains,2019-08-02,hcp-resource,,262,fr,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-Hand-FR-Cover-2020.png,,,,,https://wp.arclabs.ca/staging/wp-content/uploads/resources/Ask-Hand-FR-Cover-2020.png,,,publish,1,arclabs,admin@arclabs.ca,,,,,,,,,,,,Patient Resource,,0,1,https://wp.arclabs.ca/staging/wp-content/uploads/resources/SCE_Un-medecin-vous-parle-l-eczema-des-mains_2018.pdf
